id,type
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0.07
201,0.07
202,0.07
203,0.07
204,0.07
205,0.07
206,0.07
207,0.07
208,0.07
209,0.07
210,0.07
211,0.07
212,0.07
213,0.07
214,0.07
215,0.07
216,0.07
217,0.07
218,0.07
219,0.07
220,0.07
221,0.07
222,0.07
223,0.07
224,0.07
225,0.07
226,0.07
227,0.07
228,0.07
229,0.07
230,0.07
231,0.07
232,0.07
233,0.07
234,0.07
235,0.07
236,0.07
237,0.07
238,0.07
239,0.07
240,0.07
241,0.07
242,0.07
243,0.07
244,0.07
245,0.07
246,0.07
247,0.07
248,0.07
249,0.07
250,0.07
251,0.07
252,0.07
253,0.07
254,0.07
255,0.07
256,0.07
257,0.07
258,0.07
259,0.07
260,0.07
261,0.07
262,0.07
263,0.07
264,0.07
265,0.07
266,0.07
267,0.07
268,0.07
269,0.07
270,0.07
271,0.07
272,0.07
273,0.07
274,0.07
275,0.07
276,0.07
277,0.07
278,0.07
279,0.07
280,0.07
281,0.07
282,0.07
283,0.07
284,0.07
285,0.07
286,0.07
287,0.07
288,0.07
289,0.07
290,0.07
291,0.07
292,0.07
293,0.07
294,0.07
295,0.07
296,0.07
297,0.07
298,0.07
299,0.07
300,0.07
301,0.07
302,0.07
303,0.07
304,0.07
305,0.07
306,0.07
307,0.07
308,0.07
309,0.07
310,0.07
311,0.07
312,0.07
313,0.07
314,0.07
315,0.07
316,0.07
317,0.07
318,0.07
319,0.07
320,0.07
321,0.07
322,0.07
323,0.07
324,0.07
325,0.07
326,0.07
327,0.07
328,0.07
329,0.07
330,0.07
331,0.07
332,0.07
333,0.07
334,0.07
335,0.07
336,0.07
337,0.07
338,0.07
339,0.07
340,0.07
341,0.07
342,0.07
343,0.07
344,0.07
345,0.07
346,0.07
347,0.07
348,0.07
349,0.07
350,0.07
351,0.07
352,0.07
353,0.07
354,0.07
355,0.07
356,0.07
357,0.07
358,0.07
359,0.07
360,0.07
361,0.07
362,0.07
363,0.07
364,0.07
365,0.07
366,0.07
367,0.07
368,0.07
369,0.07
370,0.07
371,0.07
372,0.07
373,0.07
374,0.07
375,0.07
376,0.07
377,0.07
378,0.07
379,0.07
380,0.07
381,0.07
382,0.07
383,0.07
384,0.07
385,0.07
386,0.07
387,0.07
388,0.07
389,0.07
390,0.07
391,0.07
392,0.07
393,0.07
394,0.07
395,0.07
396,0.07
397,0.07
398,0.07
399,0.07
400,0.14
401,0.14
402,0.14
403,0.14
404,0.14
405,0.14
406,0.14
407,0.14
408,0.14
409,0.14
410,0.14
411,0.14
412,0.14
413,0.14
414,0.14
415,0.14
416,0.14
417,0.14
418,0.14
419,0.14
420,0.14
421,0.14
422,0.14
423,0.14
424,0.14
425,0.14
426,0.14
427,0.14
428,0.14
429,0.14
430,0.14
431,0.14
432,0.14
433,0.14
434,0.14
435,0.14
436,0.14
437,0.14
438,0.14
439,0.14
440,0.14
441,0.14
442,0.14
443,0.14
444,0.14
445,0.14
446,0.14
447,0.14
448,0.14
449,0.14
450,0.14
451,0.14
452,0.14
453,0.14
454,0.14
455,0.14
456,0.14
457,0.14
458,0.14
459,0.14
460,0.14
461,0.14
462,0.14
463,0.14
464,0.14
465,0.14
466,0.14
467,0.14
468,0.14
469,0.14
470,0.14
471,0.14
472,0.14
473,0.14
474,0.14
475,0.14
476,0.14
477,0.14
478,0.14
479,0.14
480,0.14
481,0.14
482,0.14
483,0.14
484,0.14
485,0.14
486,0.14
487,0.14
488,0.14
489,0.14
490,0.14
491,0.14
492,0.14
493,0.14
494,0.14
495,0.14
496,0.14
497,0.14
498,0.14
499,0.14
